stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\清大\大一下\程設二\mini project 2\mini project 2\TowerDefense\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12083] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12083] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12084] added dtor for sample_instance 0000000002C20BD0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12085] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12085] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12086] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12087] added dtor for sample_instance 0000000002C20CF0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12087] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12088] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12089] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12089] added dtor for sample_instance 0000000002C20E10, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12090] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12091] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12091] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12092] added dtor for sample_instance 0000000002C21400, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12093] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12094] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12095] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12097] added dtor for sample_instance 0000000002C21640, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12098] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12099] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12100] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12101] added dtor for sample_instance 0000000002C219A0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12101] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12102] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12103] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12103] added dtor for sample_instance 0000000002C21BE0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12104] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12105] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12106] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12106] added dtor for sample_instance 0000000002C21D00, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12107] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12108] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12109] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12109] added dtor for sample_instance 0000000002C211C0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12110] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12111] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12112] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12112] added dtor for sample_instance 0000000002C210A0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12113] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12114] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12115] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12116] added dtor for sample_instance 0000000002C21760, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12116] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12117] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12118] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12119] added dtor for sample_instance 0000000002C21880, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12120] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12120] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12121] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12122] added dtor for sample_instance 0000000002C21520, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12123] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12124] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12125] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12125] added dtor for sample_instance 0000000002C21AC0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12126] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12127] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12128] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12128] added dtor for sample_instance 0000000002C20F80, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12129] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12130] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12131] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12132] added dtor for sample_instance 0000000002C212E0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12132] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12133] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12134] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12138] added dtor for sample_instance 0000000002C24810, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12140] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12140] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12141] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12142] added dtor for sample_instance 0000000002C23F10, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12143] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12143] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12144] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12145] added dtor for sample_instance 0000000002C232B0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12146] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12147] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12147] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12148] added dtor for sample_instance 0000000002C233D0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12149] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12149] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12150] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12151] added dtor for sample_instance 0000000002C23DF0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12152] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12153] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12153] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12154] added dtor for sample_instance 0000000002C24270, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12155] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12163] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12164] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12165] added dtor for sample_instance 0000000002C23CD0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12166] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12167] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12168] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12168] added dtor for sample_instance 0000000002C23A90, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12169] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12170] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12171] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12172] added dtor for sample_instance 0000000002C229B0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12172] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12173] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12174] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12174] added dtor for sample_instance 0000000002C23BB0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12175] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12176] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12177] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12177] added dtor for sample_instance 0000000002C245D0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12178] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12179] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12180] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12181] added dtor for sample_instance 0000000002C22BF0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12182] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12182] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12183] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12184] added dtor for sample_instance 0000000002C24030, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12185] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12185] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12186] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12187] added dtor for sample_instance 0000000002C24150, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12187] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12188] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12189] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12190] added dtor for sample_instance 0000000002C22E30, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12190] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12191] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12192] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12193] added dtor for sample_instance 0000000002C234F0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12199] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12200] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12201] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12201] added dtor for sample_instance 0000000002C244B0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12202] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12203] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12204] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12204] added dtor for sample_instance 0000000002C24390, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12205] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12206] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12207] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12208] added dtor for sample_instance 0000000002C246F0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12209] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12209] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12210] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12211] added dtor for sample_instance 0000000002C23610, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12212] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12212] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12213] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12214] added dtor for sample_instance 0000000002C22AD0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12215] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12216] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12216] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12217] added dtor for sample_instance 0000000002C22D10, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12218] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12218] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12219] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12220] added dtor for sample_instance 0000000002C22F50, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12221] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12222] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12222] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12223] added dtor for sample_instance 0000000002C23070, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12224] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12225] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12225] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12226] added dtor for sample_instance 0000000002C23730, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12227] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12228] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12229] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12229] added dtor for sample_instance 0000000002C23190, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12230] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12231] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12232] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12233] added dtor for sample_instance 0000000002C23850, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12234] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12234] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12235] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12236] added dtor for sample_instance 0000000002C23970, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12237] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12237] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12238] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12241] added dtor for sample_instance 0000000002C25D90, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12242] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12243] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12244] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12244] added dtor for sample_instance 0000000002C26210, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12246] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12247] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12247] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12249] added dtor for sample_instance 0000000002C25490, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12250] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12251] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12252] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12253] added dtor for sample_instance 0000000002C25EB0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12254] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12254] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12255] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12256] added dtor for sample_instance 0000000002C26570, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12257] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12257] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12258] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12259] added dtor for sample_instance 0000000002C25B50, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12260] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12261] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12262] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12263] added dtor for sample_instance 0000000002C25130, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12263] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12265] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12265] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12266] added dtor for sample_instance 0000000002C25370, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12267] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12268] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12269] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12270] added dtor for sample_instance 0000000002C25C70, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12271] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12272] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12272] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12273] added dtor for sample_instance 0000000002C24DD0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12274] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12275] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12275] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12276] added dtor for sample_instance 0000000002C25A30, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12277] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12278] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12278] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12279] added dtor for sample_instance 0000000002C25FD0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12280] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12281] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12282] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12282] added dtor for sample_instance 0000000002C255B0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12283] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12284] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12285] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12286] added dtor for sample_instance 0000000002C26690, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12287] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12287] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12288] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12289] added dtor for sample_instance 0000000002C26B10, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12290] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12291] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12292] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12293] added dtor for sample_instance 0000000002C267B0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12293] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12294] 
